Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Performance_Score,Remote_Work
EMP1000,Bob,Davis,25.0,DevOps-California,Active,2021-04-02,59767.65,bob.davis@example.com,Average,True
EMP1001,Bob,Brown,30.0,Finance-Texas,Active,2020-07-10,65304.66,bob.brown@example.com,Excellent,True
EMP1002,Alice,Jones,30.0,Admin-Nevada,Pending,2023-12-07,88145.9,alice.jones@example.com,Good,True
EMP1003,Eva,Davis,25.0,Admin-Nevada,Inactive,2021-11-27,69450.99,eva.davis@example.com,Good,True
EMP1004,Frank,Williams,25.0,Cloud Tech-Florida,Active,2022-01-05,109324.61,frank.williams@example.com,Poor,False
EMP1005,Alice,Garcia,40.0,Sales-Texas,Inactive,2020-06-10,88642.84,alice.garcia@example.com,Good,False
EMP1006,Frank,Jones,30.0,Admin-Nevada,Active,2020-04-03,96288.43,frank.jones@example.com,Good,False
EMP1007,Bob,Jones,30.0,Cloud Tech-Florida,Inactive,2022-07-17,94497.91,bob.jones@example.com,Average,True
EMP1008,Frank,Davis,35.0,Admin-Nevada,Inactive,2023-12-08,115565.82,frank.davis@example.com,Excellent,True
EMP1009,Charlie,Johnson,30.0,DevOps-New York,Active,2022-08-04,76561.88,charlie.johnson@example.com,Excellent,True
EMP1010,David,Williams,35.0,Cloud Tech-New York,Active,2024-07-06,72081.71,david.williams@example.com,Average,False
EMP1011,David,Davis,30.0,DevOps-California,Active,2023-09-04,84946.19,david.davis@example.com,Poor,True
EMP1012,Heidi,Williams,30.0,HR-New York,Active,2024-03-05,89295.77,heidi.williams@example.com,Excellent,False
EMP1013,Grace,Williams,30.0,Finance-California,Active,2020-10-10,85666.84,grace.williams@example.com,Good,False
EMP1014,Alice,Garcia,25.0,Admin-Nevada,Active,2024-06-10,97633.68,alice.garcia@example.com,Excellent,True
EMP1015,Grace,Jones,40.0,Sales-Florida,Pending,2021-05-29,117975.49,grace.jones@example.com,Good,True
EMP1016,Alice,Brown,25.0,DevOps-Illinois,Inactive,2024-04-23,94867.33,alice.brown@example.com,Poor,False
EMP1017,Grace,Garcia,30.0,Finance-Texas,Pending,2024-11-28,100377.65,grace.garcia@example.com,Average,True
EMP1018,Charlie,Garcia,30.0,Cloud Tech-Nevada,Inactive,2024-09-19,94726.46,charlie.garcia@example.com,Excellent,False
EMP1019,Charlie,Williams,35.0,Admin-Illinois,Pending,2020-01-02,91926.12,charlie.williams@example.com,Average,True
EMP1020,Bob,Miller,35.0,HR-New York,Active,2021-05-08,111460.67,bob.miller@example.com,Excellent,True
EMP1021,Bob,Jones,40.0,Cloud Tech-Illinois,Active,2020-09-19,96182.56,bob.jones@example.com,Good,False
EMP1022,Charlie,Johnson,35.0,Sales-Illinois,Inactive,2021-03-09,115023.94,charlie.johnson@example.com,Average,True
EMP1023,David,Garcia,35.0,Finance-Nevada,Pending,2022-02-03,80667.01,david.garcia@example.com,Excellent,False
EMP1024,Bob,Brown,30.0,Admin-Texas,Inactive,2020-02-13,91181.61,bob.brown@example.com,Good,True
EMP1025,David,Miller,25.0,Cloud Tech-Nevada,Pending,2020-04-30,66025.92,david.miller@example.com,Average,False
EMP1026,Frank,Miller,25.0,Sales-New York,Inactive,2023-10-02,83979.01,frank.miller@example.com,Average,False
EMP1027,Heidi,Johnson,30.0,Finance-Florida,Active,2020-07-12,56785.16,heidi.johnson@example.com,Excellent,True
EMP1028,Grace,Garcia,40.0,Finance-Nevada,Active,2023-10-11,95741.88,grace.garcia@example.com,Excellent,False
EMP1029,Alice,Brown,40.0,DevOps-California,Active,2021-05-24,63411.31,alice.brown@example.com,Excellent,True
EMP1030,Charlie,Jones,40.0,Admin-California,Inactive,2021-05-26,111214.02,charlie.jones@example.com,Good,True
EMP1031,Bob,Smith,25.0,DevOps-Illinois,Active,2020-07-10,114845.69,bob.smith@example.com,Excellent,True
EMP1032,Charlie,Brown,40.0,Finance-Florida,Active,2024-11-05,78072.82,charlie.brown@example.com,Average,False
EMP1033,Grace,Johnson,25.0,Finance-California,Inactive,2021-08-07,79610.52,grace.johnson@example.com,Average,False
EMP1034,Heidi,Miller,30.0,Admin-California,Active,2020-04-29,90542.62,heidi.miller@example.com,Excellent,True
EMP1035,Frank,Jones,25.0,Cloud Tech-Illinois,Inactive,2022-10-26,114357.1,frank.jones@example.com,Excellent,True
